Study Program,Courses,Description
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermodynamics 2,thermodynamics idealized technical chemical thermodynamics heat availability exergy gas gases vapors humid air thermodynamics chemical reactions combustion chemical equilibrium heat
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermodynamics 2 Lab,thermodynamics experiments lab
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Additive Manufacturing 1 – Fundamentals,manufacturing production technological manufacturing manufacturing
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Computer Aided Part Design (CAD),computer design virtual product engineering modeling modeling motion simulations validation siemens
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Introduction to Plastics Technology,plastics technology classified classification plastics thermal rheological mechanical mechanical electrical optical acoustical deterioration extrusion extrusion injection moulding injection moulding injection moulding iii casting fibre composites assembling plastic machining plastics plastics technology practical practical delve experiments pilot fixed plastics structural analysis plastics rheology melted plastics plastics plastics extrusion plastics injection moulding machine blown extrusion joining
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Logistics and Material Flow,warehouse inbound outbound dimensioning warehouses optimizing warehouses picking logistics inventory planning sizing calculation warehouse dimensioning queueing
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Measurement Science and Technology,measurement science technology prerequisites machines plants experimental rsp verification theories measurement science technology signal signal signal measurents signals statistics distribution moments errors data analysis reduction linear nonlinear regression dynamics noise thermal shot telegraph noise analog signal filter amplifier digital signal converter sensors electrical measurements resistive sensors capacitive sensors magnetic sensors sensors labcourse gas curve calibration dynamics analog signal lock amplifier signals noise digital signal conditionin dynamic light scattering correlation distribution
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Project Management,project project project technical specification tools project project implementation project
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,System Dynamics,technical dynamical dynamical loops design linear
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Control Technique MB,frequency laplace transformation loops frequency stability linear dynamical nyquist locus design
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Electrical Machines,electrical machines electrical technology engineer machines transformers dc machines synchronous machines machines generator plants grid machines electronics frequency converter asynchronous machines machines calculation machines differential equations networks phasor curves heyland ossana curve synchronous generator
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Product Development,product engineering design product product competitors calculate register patents modularization modular products tools product
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Production Technology,production technology optimization production technical quotation design production planning manufacturing production tool production technology simulation means tool technology analyzed
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Selection of wear and corrosion resistant materials,science production engineering wear corrosion resistant production requirements worldwide availability mechanical design michael ashby butterworth database software ashby solve computers guidance dependently
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,System Dynamics and Control Technique Lab,practical dynamics engineering spring maschinenbau
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermal Power Machines,thermodynamic thermo fluid dynamics machines engines turbo machines dimensional hydraulic thermal turbines pumps compressors piston engines pumps compressors internal combustion engines
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Thermal Power Machines Lab,lab measurement centrifugal pump throttle curve curve radial pump measurement curve lab similarity laws lab centrifugal compressor grid measurement curve measure diesel combustion engine cyl stroke lab internal combustion engines engine bosch testing
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Vibration Analysis,vibrations linear vibrations eigenvalues eigenvectors beat phenomenon vibration absorbers vibrations structural gyroscopic modal analysis axial vibrations traversal vibrations strings bernoulli nonlinear
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Bachelor Thesis,scientific
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Bachelor Thesis Colloquium ,
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Interdisciplinary Studies,technical technical
B.Sc. Mechanical Engineering (Product Engineering)  PO19 - B-MB(PE)-19,Internship,regulations
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Chemistry,topicsoft periodic hydrogen chemical intermolecular equations stoichiometry kinetics energetics chemical reactions metals production corrosion chemical equilibrium acid equilibria electrochemical electrolysis galvanic cells polymers production functional optical electronic magnetic mechanical synthesis chemical
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Computer Aided Calculation Tools,scientific matlab tool numeric complicated engineering sciences pc workstations matlab engineering computers teams engineering mathematics theoretically experimentally error tolerance mathematical vectors matrices vector matrix relational logical operators branching loops matlab matlab graphics computing matlab computer engineering science
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Engineering Drawing,geometry projections technical drawings drawings manufacturing drawings machine
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Introduction to Mechanical Engineering,hands lab experiments mechanical engineering labs
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mathematics 1 (for Engineers),differential calculus integral calculus complex infinite differential calculus integral calculus definite integrals integrals
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mechanics 1 ,vector calculus cartesian coordinates coordinate transformation vectors wrench screw statics axioms statics equilibrium equilibrium equations spatial graphical solution equilibrium equilibrium statically cone angle rope wheel volume gravity pappus guldin statics statically internal dimensional draw sketches moments elastostatics continuum uniaxial modulus modulus poisson ratio modulus modulus poisson ratio uniaxial torsion beam bernoulli hypothesis polar moments inertia differential equation flex
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,CAD Lab,cadp parametric design practical shafts wheels gearbox technical drawing drawings lists libraries siemens
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Informatics,systematic programming engineering algorithmic procedural implementation matlab matlab tool engineering programming technique modular ipo architecture hardware software matlab operators algorithms strategy matlab toolboxes boolean algebra logical logical branching loops vectorisation visualisation graphics plots vectors polynoms matrices polynom vector matrix computing differential quotients trapezoidal codings overflow underflow machine epsilon data arrays strings cell arrays reading writing files image rgb colour memory consumption sorting gui programming
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Machine Elements 1,machine engineering iso tolerances calculation parameter static dynamic practical calculation axes shafts pivots designing calculation bolted calculation bolts screws shafts collars shaft collar shaft collar jointing shaft collar design calculation design calculation designing calculations machine tolerances parameter calculation calculation dimensioning bolted screws calculation diameter deflection axes shafts calculation dimensioning calculation
B.Sc. Mechanical Engineering (Ship and Offshore Technology)  PO19 - B-MB(SOT)-19,Mathematics 2 (for Engineers),tools dimensional vector calculus linear equations matrices determinants derivatives techniques computation curvilinear integrals integrals probability vector calculus linear equations matrices determinants eigenvalues eigenvectors curves differential calculus taylor formula extrema integrals integrals parameters integrals probability
